Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
lafizy,74,156216,115,0,343,0,137010,0,134,212,0,0,-3.45244e+06,2,127.643,0,12.5592
laggr15,12,74663,28,0,95,1,39640,0,36,25,0,0,-2.18767e+06,2,53.9512,0,17.581
llTheDoctor46ll,4,10958,4,0,3,0,3460,0,7,6,0,0,-398560,3,26.1427,0,6.42318
llllFalconllll,70,496848,129,0,1118,0,81440,0,90,133,0,0,136410,1,148.857,10.3265,22.8398
lmNooooob,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
lorochimi,0,1841,0,0,0,0,0,0,0,0,0,0,0,3,12.2254,0,0
lucholimpo,160,258036,73,0,374,4,467320,1,695,706,0,0,1.67925e+06,1,223.4,60.9323,9.35099
luningO_O,0,52084,0,0,0,0,0,0,0,0,0,0,-11940,3,37.2102,0,0
m0Jlevi4,31,105510,0,0,64,1,58370,0,30,38,0,2,94400,2,78.0714,7.09027,8.5865
madcow0812,25,282060,1,0,35,0,56710,0,21,29,0,0,-4.36135e+06,1,90.3076,0,7.90098
mario-banane,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mcwopppersnaggy,0,10045,0,0,0,0,0,0,0,0,0,0,0,3,21.5104,0,0
mellod90,0,106414,0,0,0,0,0,0,0,0,0,0,-640,2,47.2053,0,0
metalchromesan,36,33311,84,45,711,1,77570,0,122,67,0,0,244640,3,68.0643,17.3939,29.8126
midgetMASSACRE7,0,77422,0,0,0,0,0,0,0,0,0,0,-4.03639e+06,1,42.4612,0,0
minamimuki,21,40500,0,0,1,1,47390,0,45,42,0,0,86200,0,55.2202,10.8444,6.89183
molinokuma,167,283315,394,0,4364,2,96090,0,98,270,0,0,354780,3,232.404,14.4108,32.8969
moneyhats,19,69278,60,0,200,0,84220,0,74,109,0,0,228150,1,59.9184,25.9345,21.1592
mvnkil,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mxxlele,27,240580,9,0,29,0,64420,1,53,107,0,0,131640,2,88.9383,15.1878,7.98831
myhxz,121,180709,342,0,1412,4,225650,0,165,288,0,0,-5.74348e+06,1,177.309,0,20.5707
nacholp41,98,156717,124,32,422,0,238790,0,262,300,0,0,755600,1,151.7,31.9342,12.0254
nemets135,2,46968,0,0,0,0,1250,0,2,0,0,0,-3.55604e+06,2,37.9509,0,5
neonesis,0,34840,0,0,0,0,0,0,0,0,0,0,0,2,32.5471,0,0
neusiedl9,151,488592,138,20,403,0,175280,0,242,102,12,4,578430,2,229.419,20.3484,8.83599
nexT_Quenezui,24,68620,4,0,13,0,40160,0,29,78,0,0,-4.47836e+06,1,64.7885,0,6.39549
nissedanne,19,66624,27,0,62,0,32220,0,35,71,0,0,113100,2,59.3895,14.6449,10.4164
notbrianm,1,27935,0,0,0,0,70,0,0,11,0,0,-641225,1,31.239,0,2.89251
oflowmoralfiber,12,93917,37,0,88,0,41880,0,42,54,0,0,-3.66531e+06,2,57.2818,0,17.6861
okmjjx,42,117933,6,0,26,0,36150,0,6,19,0,0,20865,2,90.8489,1.7867,5.41533
old_healer,79,178640,114,141,209,1,166200,0,132,179,0,0,92800,2,135.093,10.0424,11.7719
oldguy66,37,122670,32,0,58,1,71420,0,115,65,0,0,179550,1,86.4937,14.5654,8.6281
ooDestroyer93oo,35,116595,2,0,393,0,102820,0,61,72,0,0,92520,2,83.6636,10.0341,18.3617
ozhealth,526,986330,893,4,6841,7,1135330,2,1449,1478,0,0,2.67992e+06,3,625.085,78.8974,20.8157
padonok910,0,20406,0,0,0,0,0,0,0,0,0,0,0,2,27.2364,0,0
perfunctory,0,69343,0,0,0,0,0,0,0,0,0,0,0,1,40.9311,0,0
pirito_10,0,9532,0,0,0,0,0,0,0,0,0,0,0,2,21.1382,0,0
pprob340,12,102850,50,0,222,0,37140,0,28,44,0,0,57640,2,58.6728,13.9718,29.4587
r3demptor,91,152338,493,0,1626,0,405420,1,476,349,0,0,1.02961e+06,2,144.196,45.8882,31.1698
rafabets,74,81660,332,231,2469,0,445500,0,283,221,0,0,1.04732e+06,3,117.221,41.333,48.8084
raul-sf-ferreira,1,9945,1,0,2,0,1800,0,5,8,0,0,10200,2,22.4389,26.4144,9.51356
rayleigh974,0,0,0,0,0,0,0,0,0,0,0,0,-4670,2,0,0,0
ric85bo,69,169839,129,0,590,2,221590,0,104,104,0,0,157600,2,124.157,10.9382,17.5277
yelabd,51,150383,20,0,140,1,126900,1,262,202,0,0,555910,2,103.967,33.759,10.0626
zato_iczi,30,108371,51,0,93,1,48520,0,30,41,0,0,33250,2,77.4926,5.19756,10.3413
znameniti,53,57474,13,0,73,1,152860,0,191,180,0,0,-7.01918e+06,2,91.4507,0,8.32823
--BuRnEer--,0,32010,0,0,0,0,0,0,0,0,0,0,-185710,2,31.6417,0,0
--GeeTeeEye--,0,11797,0,0,0,0,0,0,0,0,0,0,0,1,22.6934,0,0
-EC-Etothed,3,2540,12,0,28,0,12620,0,9,8,0,0,-563300,2,16.6085,0,21.0532
-Feu3rFr3i-,0,33688,0,0,0,0,0,0,0,0,0,0,0,2,32.1847,0,0
-Fr-LeXa,47,164167,336,0,1018,0,208720,0,314,167,0,0,648310,0,101.537,38.1672,36.1629
-HERO-CCTV14,0,765,0,0,0,0,0,0,0,0,0,0,0,3,9.12555,0,0
-HERO-Cinder,0,17050,0,0,0,0,0,0,0,0,0,0,0,1,25.6545,0,0
-Jujubi-,0,56881,0,0,0,0,0,0,0,0,0,0,0,2,38.3181,0,0
-KRUT-Archfry,0,0,0,0,0,0,0,0,0,0,0,0,-5.27948e+06,2,0,0,0
-PR-oRBital,0,321,0,0,0,0,0,0,0,0,0,0,0,2,6.83386,0,0
-uhha-2017-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-wdqwfy-HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
00C0,0,0,0,0,0,0,0,0,0,0,0,0,-4.91097e+06,3,0,0,0
0bock,23,135612,90,7,397,0,93110,0,85,75,0,0,250745,2,74.1747,20.5634,28.9765
141-Shrimps,5,72849,0,0,0,0,7400,0,9,15,0,0,18550,3,46.609,9.70778,6.20248
14_LeoNiDas_53,78,158927,155,0,430,1,179450,0,68,197,0,0,18190,2,131.951,6.69543,13.9252
1918rushb,38,144311,0,0,24,0,50510,0,21,75,0,0,236860,3,90.2452,12.1774,6.03784
19NicK64,0,4887,0,0,0,0,0,0,0,0,0,0,0,2,16.922,0,0
1strawberrymilk5,36,51762,0,32,10,0,75970,0,70,66,0,0,-5.8478e+06,3,73.1335,0,7.77752
3G-Simmel,0,0,0,0,0,0,0,0,0,0,0,0,-37430,2,0,0,0
3Smup,0,41864,0,0,0,0,0,0,0,0,0,0,0,2,34.5998,0,0
710TOKE,19,67300,0,14,0,0,41470,0,26,46,0,0,-19180,1,59.5256,0,6.83461
7ACT1CS,0,49796,0,0,0,0,0,0,0,0,0,0,0,1,36.6577,0,0
9A64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AGENT-TWIN,60,78340,62,0,399,1,100770,0,145,277,0,0,457640,1,102.628,27.1669,13.4012
AKPatate_JDM,6,56231,19,0,57,0,9250,0,19,13,0,0,-9450,2,44.1717,0,18.2654
AMD_PREDATOR,210,256530,1007,7,2320,1,735940,1,627,545,0,0,2.23763e+06,3,273.277,68.3911,22.6938
AN-Doggie,92,206851,30,0,44,0,148350,1,237,197,3,1,-6.95947e+06,3,150.9,0,6.33638
