Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
IMrMaestroX,435,557866,873,20,1493,1,994843,2,1553,3025,1,0,57855,2
IPhysiXI,525,659679,2004,68,7373,6,1985780,4,2248,3234,2,1,1.94942e+06,2
IRazer1990,1062,1155144,1871,151,4019,4,1576260,3,1973,2699,16,12,1.2028e+06,2
I_VIRUSVETER_I,2000,2281968,276,25,1534,7,2689120,10,6053,6409,0,0,7.24822e+06,2
Icarus8800,1299,1313705,1568,64,8180,3,1785260,4,1707,2628,7,1,3.56427e+06,3
Igenx,1219,1367112,737,298,2728,3,1513040,4,3558,2735,7,2,5.66693e+06,2
IllNoiselessllI,609,844727,1359,130,4215,2,1313230,3,2412,3340,6,3,2.36247e+06,2
IneedSmokeWeed,1114,1443476,1771,5,10120,6,2057100,4,1867,4187,2,1,2.24688e+06,2
Intrusionist7,773,491995,2407,65,7070,2,1768820,3,3103,2296,31,9,2.49444e+06,2
JMDcpn,2107,1981773,3185,94,16374,8,2300470,5,2844,2441,2,3,6.07475e+06,3
Jager-ll,852,878339,2640,212,20802,7,2420210,4,2162,3572,12,4,4.35636e+06,3
JakkoTheShadows,1322,1300372,6700,302,10906,1,1970680,3,1853,2742,14,1,3.55374e+06,1
JcpPlay6962,1769,1461254,213,26,1308,10,2243290,5,3468,1743,6,1,4.29074e+06,2
JontzuH,666,899392,203,35,3464,809,1919620,5,2535,3264,31,5,532720,2
Joseph450,581,624744,370,0,612,91,1354720,3,1889,2869,17,3,437815,1
JpK_Elsass_Frei,858,839224,3656,290,23183,9,2391860,4,1468,2272,88,28,925320,2
Juliet_Alpha1219,1739,1805232,1777,198,12629,13,2613520,7,4018,2762,0,0,6.56043e+06,3
JustinX_ONZ,1806,1617455,1584,203,16835,10,1931840,4,3051,3313,6,2,5.01099e+06,3
K17703R,1308,555921,3612,56,14543,3,915223,282,203,296,7,0,301920,1
KL59_Dragon,1094,1226195,1381,78,14669,25,2072500,5,3410,3835,0,0,4.76252e+06,3
KOR_IlIllI,841,725813,776,54,4333,768,752147,1,567,888,0,0,1.76946e+06,3
KUMA_SIX,1715,1771602,1232,351,5382,13,1869690,5,1744,2675,10,0,3.03461e+06,3
Kardinal_Judas,1620,1263079,418,83,9486,13,2523820,5,3915,3840,5,7,3.7712e+06,2
KermitRegeltDas,738,880296,5628,31,25533,872,2180680,3,1666,2498,11,2,664625,2
Kesselmeister666,810,673751,1946,64,11587,6,1783720,4,3100,2085,28,13,4.17997e+06,2
Killerkuh93,1033,1049633,2449,121,7125,3,1766430,3,1709,2770,57,59,1.40996e+06,2
KimJongAffe,748,660657,3338,81,21903,5,2191780,4,2512,2753,61,26,2.01476e+06,2
Kim_Gong_Oooo,1697,1707130,5555,1497,31195,7,2932230,5,3986,2965,0,3,5.92583e+06,1
KittenPanda26,1012,1289950,1146,236,5366,2,4048050,10,6420,7621,13,0,720530,1
KoNsuL97,758,854359,1901,45,8324,2,1632340,4,3951,3918,82,27,5.92026e+06,2
KoerneX,874,1045659,1896,173,10874,3,1990460,4,2096,2760,0,1,3.63599e+06,2
Kree9,848,842365,807,149,3730,1,1446860,3,2207,2636,27,9,3.57031e+06,2
KretsMVT,1159,1053334,1115,134,5336,2,2359460,5,3948,2439,20,2,5.24637e+06,2
KronosOrphi,1197,1113422,2622,320,10656,4,2268950,4,1107,2312,386,160,1.01837e+06,1
Kroxa-Kartoxa,673,776907,321,62,1255,587,1293580,2,1404,3766,8,3,1.03867e+06,2
KrugerHU,1608,1221704,275,127,4549,6,1517600,3,2242,2907,72,34,1.54304e+06,2
Kryp7on,965,894032,1057,81,5698,5,1269070,2,1039,1615,0,0,678678,2
LANlAKEA,1044,908974,3721,100,8813,4,2160540,4,2200,2704,3,1,3.87747e+06,2
Lacanzinho,799,705641,2468,81,10824,11,2018630,3,1246,1684,11,0,1.4831e+06,1
LeeSecretary,1382,1518394,1900,87,4177,3,1872040,4,1603,3662,0,0,2.96187e+06,3
Leerox66,1146,1064587,1069,95,4447,2,1498960,4,2464,3745,2,0,2.24119e+06,2
Losa06,1402,1122860,846,79,9158,56,2835630,6,4102,4379,19,2,2.47392e+06,3
Ltzefir,968,1030692,1130,95,6396,8,1749980,4,2971,3077,8,4,2.49097e+06,2
LuckyLuukee1,1164,1077092,1336,100,12108,6,2347600,5,1599,1958,333,97,1.51883e+06,2
Luis_DarkX,887,892588,457,0,3185,1,1759080,3,1975,3941,17,1,3.7069e+06,1
Lyf1n,1138,1064893,5111,357,17918,12,2111450,4,2230,3397,147,74,3.81553e+06,2
MOHCOBRA,1301,1572392,767,308,8431,17,2768420,6,4424,2662,12,9,6.40021e+06,2
MSAEooooaaa,799,960145,1388,188,3183,2,1695340,4,2950,2538,10,3,4.65184e+06,1
MaJeeD_a7,1466,1065278,1017,36,4483,2,2004880,4,2080,2377,209,48,2.37197e+06,2
MadGott,819,736819,3352,153,20342,6,1717690,3,2842,1824,37,4,3.7345e+06,2
MadV1per79,1233,907687,1001,122,3273,8,1767840,3,1850,1929,22,12,3.27952e+06,2
Mad_Karel,1495,1024776,472,50,5460,2,1277440,2,1319,1548,19,3,1.41089e+06,2
Majorachre,848,931997,6240,48,28256,8,1910600,4,4405,2366,0,0,6.23264e+06,1
Malternativ,751,805756,3153,262,13536,6,1961660,3,2566,2941,51,22,1.43818e+06,2
Markuss212,915,981100,4776,18,21252,9,3111110,6,2640,2720,19,6,4.05346e+06,2
Marselos5,914,632413,555,54,1870,2,1038940,1,1233,1230,0,0,1.81288e+06,2
Marshall_Pirs,1145,1128116,3290,834,18390,5,2790270,5,4106,3734,15,0,7.11998e+06,2
