Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
CosmicDusk,529,475609,750,21,1994,1,801514,1,1363,1961,2,0,2.62978e+06,3,475609,0,529,0,0,0,0
CptButterCake,851,710273,1847,57,8000,6,1508940,2,1835,3405,68,22,1.37477e+06,2,710273,0,851,0,0,0,0
Crazy_horse101th,1306,1154733,1568,238,14225,15,2471530,4,3125,2019,19,12,2.40092e+06,2,1142419,12314,1289,17,40.0199,11.6371,7.56836
Crimson_Ghost,830,1014667,1036,73,8031,14,1574860,3,2393,6123,0,0,3.65223e+06,1,1014667,0,830,0,0,0,0
Crunkendrunk,1253,1163587,2037,156,5770,4,2155980,5,3975,2641,13,5,5.52566e+06,1,1163587,0,1253,0,0,0,0
CycoSandwich,1043,1001709,3265,150,7868,6,1909290,4,4241,3192,28,9,6.11623e+06,2,1001709,0,1043,0,0,0,0
Cypha730,1114,1014099,4393,57,12288,1,2361670,5,2536,3654,25,6,2.48744e+06,1,1014099,0,1114,0,0,0,0
D1ckFromMountain,1299,1498782,575,78,2703,3,1140510,3,2126,3654,0,0,3.85493e+06,2,1487122,11660,1285,14,36.6053,7.25279,7.21564
DJX995,897,1039899,2083,148,19568,11,2465300,4,1711,2912,2,2,500590,1,1031824,8075,889,8,28.0022,13.3947,84.8291
DOGO_747,1603,1600041,129,31,849,8,332506,747,2338,3019,14,9,3.68369e+06,2,1596151,3890,1600,3,18.6839,12.3828,2.39678
DYTV-2040553,892,777571,1624,211,6478,22,3113040,6,1176,4681,2,2,1.8331e+06,3,777571,0,892,0,0,0,0
Dan-Celentano,1080,930126,2573,400,16568,10,2305680,4,1643,2031,112,59,2.89356e+06,2,930126,0,1080,0,0,0,0
DazpolzZ,843,764144,1745,103,4245,3,2086250,4,2881,2029,112,40,4.69916e+06,2,764144,0,843,0,0,0,0
DefilarTheGreat,1787,1341032,2924,208,6928,8,2114190,4,2149,2733,41,22,3.47858e+06,1,1332037,8995,1776,11,31.734,7.96042,13.7046
DerMettwurstmann,1132,1335021,1575,201,6625,2,1451240,4,2246,3094,0,0,3.7447e+06,2,1335021,0,1132,0,0,0,0
DigUrGraveNow,1204,1575470,293,46,2257,10,1811430,5,3388,5485,0,0,4.84114e+06,1,1575470,0,1204,0,0,0,0
Diggo68,2854,1988299,881,148,13125,9,3384900,8,4916,2250,82,56,4.0562e+06,1,1988299,0,2854,0,0,0,0
Doctor_PHNX,1456,1492296,1897,44,11772,8,2123820,5,2930,1837,16,4,3.2499e+06,2,1477998,14298,1443,13,37.1939,8.63265,65.3212
Domantalie,1074,794952,2441,37,10579,2,2598170,7,4910,3647,29,2,4.61077e+06,2,794952,0,1074,0,0,0,0
Don-Domingo01,1015,1105703,1776,244,4689,4,1913100,4,2948,4628,82,46,3.00484e+06,2,1099766,5937,1005,10,28.055,10,14.3566
DonDeni,714,887574,1061,0,2528,2,1556160,4,3018,4129,4,1,3.96323e+06,2,887574,0,714,0,0,0,0
Donnie_Dump,4248,2096617,562,0,9941,3,1556180,1,615,656,11,0,874430,1,2096617,0,4248,0,0,0,0
Drittfugl,992,952171,1869,77,15074,7,1898460,4,3483,3067,4,1,4.26544e+06,2,949304,2867,987,5,19.1685,15.8073,12.8244
Dukador,1070,818533,2025,120,10665,7,2322800,5,3459,2517,26,17,2.15409e+06,2,818533,0,1070,0,0,0,0
Dustkiller,2371,1902386,1235,147,5697,1,1927670,6,2219,3594,0,0,4.70403e+06,2,1902386,0,2371,0,0,0,0
Dz-KaTaNa,1041,1086309,449,9,2034,929,1377060,3,4363,4068,7,5,5.4094e+06,2,1086309,0,1041,0,0,0,0
EDDISONN,786,789315,128,9,6829,4,1841080,3,1429,1657,62,17,740305,2,789315,0,786,0,0,0,0
ENiGMAdubz,813,829953,984,185,3342,2,1258810,2,1643,2808,40,11,1.91295e+06,2,829953,0,813,0,0,0,0
ERoTiiCK,654,636120,2726,59,9921,3,1533880,3,1714,1938,166,47,2.564e+06,2,636120,0,654,0,0,0,0
EgoBusta,1050,1310940,483,161,1745,1,1847480,6,5013,5735,3,1,6.53716e+06,1,1310940,0,1050,0,0,0,0
Emzak77,847,861110,1577,223,4391,1,1801580,3,1915,2923,15,0,3.2362e+06,1,861110,0,847,0,0,0,0
Eradon10,1002,1000682,891,52,6801,5,1410040,3,1645,3130,0,0,3.14259e+06,2,1000682,0,1002,0,0,0,0
EusKa_Z3phyR,1204,1258414,3839,18,19499,590,1849690,5,4233,4265,0,0,5.99793e+06,2,1258414,0,1204,0,0,0,0
Ever3lade,1159,1162594,2765,391,13331,12,1897820,4,2971,2953,8,0,4.09324e+06,1,1162594,0,1159,0,0,0,0
FAILorigin,1569,1630604,3157,103,9597,3,2636360,7,4509,3953,20,7,5.75494e+06,2,1630604,0,1569,0,0,0,0
