Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Blissfultimes,1186,1097820,2578,203,9012,2,2036800,4,1726,2575,3,2,3.67809e+06,2,1097820,0,1186,0,0,0,0
Bloons_that_Tanz,719,700746,1494,124,6654,3,1566800,3,2555,2660,7,10,3.5416e+06,1,700746,0,719,0,0,0,0
BlueFalcon85,755,748756,1083,50,3461,2,1597230,3,2194,2629,43,22,2.56877e+06,1,746067,2689,753,2,15.8693,17,8.10015
BoWu_mit_Senf,1326,1743590,1245,102,9384,27,2103540,6,5353,5902,2,0,6.32599e+06,2,1743590,0,1326,0,0,0,0
Bonebraker2,1320,1491048,990,201,4251,21,3148020,8,4181,2360,5,2,6.55927e+06,2,1491048,0,1320,0,0,0,0
BoxingPanther,794,596015,1781,57,12832,6,1737260,2,2333,1512,36,12,1.21185e+06,2,596015,0,794,0,0,0,0
Boyzabackintown,4306,2217408,655,66,3026,4,2171210,4,2934,2720,11,2,3.62648e+06,3,2217408,0,4306,0,0,0,0
BrainECrack,1152,710403,1462,99,5395,4,1706460,2,1495,1302,106,34,822560,2,710403,0,1152,0,0,0,0
Briku1,1159,1325140,347,96,1214,3,1013350,2,2272,3603,7,6,3.97483e+06,1,1325140,0,1159,0,0,0,0
Broth3r,1111,1258997,2587,216,7725,5,1924000,6,4083,5926,6,4,4.67745e+06,2,1258997,0,1111,0,0,0,0
Brrryyaaan,649,903074,962,51,2450,3,1262770,3,2170,3381,1,1,3.4573e+06,2,903074,0,649,0,0,0,0
Bulldawzer1,616,712512,3993,9,18420,9,2053680,4,3466,3415,3,0,4.89995e+06,1,712512,0,616,0,0,0,0
BulletF365,936,1078845,2,27,58,25,1555850,3,1531,2255,3,5,2.91632e+06,2,1078845,0,936,0,0,0,0
C0ldF1re,863,973100,1063,227,7997,8,1597200,3,3148,2444,43,2,4.22123e+06,2,973100,0,863,0,0,0,0
CCCCaesar,1497,1328743,1378,72,6177,4,1433210,3,1697,2528,5,1,2.98773e+06,3,1328743,0,1497,0,0,0,0
CHUCKPATRIOT,3666,2662979,1900,118,6881,3,6539940,14,8579,6523,8,8,1.38541e+07,0,2662028,951,3663,3,12.8115,8.98567,6.99635
CN-AJun-Felix,856,926978,1417,207,6805,4,1434590,3,2134,2754,33,15,2.66563e+06,1,926978,0,856,0,0,0,0
CaSh_894,790,1012476,2107,9,9274,3,1648240,3,2309,2894,0,0,2.08555e+06,2,1012476,0,790,0,0,0,0
Capulet09,986,1132449,4477,13,18196,3,2752100,5,2988,2721,6,9,5.40564e+06,2,1132449,0,986,0,0,0,0
Cardboard_Manx,1293,1861792,2101,389,14738,14,1324620,2,1284,4012,0,0,290700,2,1861792,0,1293,0,0,0,0
CeMoLi09,882,868437,970,93,4033,1,1431830,3,2702,2545,32,12,4.51578e+06,2,868437,0,882,0,0,0,0
Ceffster777,1215,1154080,2380,153,8756,10,1976070,3,2439,1793,0,0,4.57923e+06,2,1152042,2038,1212,3,15.6463,8.62953,6.29069
Chackallll,930,1086370,1268,182,8345,3,2141090,6,4743,5453,0,0,6.71645e+06,1,1086370,0,930,0,0,0,0
ChefExecutifDCAP,703,687975,573,101,1503,1,1547410,3,1380,2472,9,0,1.81117e+06,1,687975,0,703,0,0,0,0
Chmeee,587,603650,1043,53,4999,4,1307520,2,1667,2356,36,14,2.17188e+06,1,603650,0,587,0,0,0,0
ChoxieSekurai,732,888693,3363,101,12895,3,2466180,6,3183,3938,4,0,3.8369e+06,1,886201,2492,728,4,17.5223,28.2124,42.8189
ChumBucketDeluxe,973,1220666,2829,46,11372,2,1719890,4,3436,4352,3,1,4.76983e+06,1,1220666,0,973,0,0,0,0
Clanck86,2140,1207809,1561,191,11069,6,3870210,10,8680,3053,8,6,2.13318e+06,2,1207809,0,2140,0,0,0,0
