Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
lucas8788,248,269509,748,10,4945,399,276007,686,628,247,0,0,1.0162e+06,3
ludsel,165,160029,155,10,208,247,167350,314,160,269,1,2,207270,2
lzaiah,179,177932,981,31,3905,1,354355,1,540,399,0,0,322410,0
m1nooo,94,81337,61,0,141,646,118524,159,141,360,1,1,289850,1
mA3zi,298,291600,243,10,241,957,363077,1,850,637,3,3,1.07889e+06,2
m_nus2k8,280,288309,745,28,2590,712,440848,1,905,443,2,0,1.00826e+06,2
macholoko,235,220670,1521,115,7127,441,530643,758,371,402,25,11,388560,2
macopulos,150,174820,234,43,382,76,166919,380,170,398,4,0,411735,3
mahirocal,176,141098,56,10,273,741,217341,422,179,268,1,2,262130,2
malandio,505,324870,410,71,5435,2,374932,760,556,495,8,8,455400,2
mamaboy89,300,309015,903,62,4992,2,690977,1,921,1017,0,0,741200,2
mapkdh,191,181759,217,2,1009,745,232771,526,419,241,3,2,570780,2
martinkim93,181,217051,422,4,4263,2,271442,607,452,869,0,0,524260,1
matejvilim77,279,267187,191,13,844,225,286652,769,362,416,0,0,539960,2
math0811,128,122021,118,0,665,288,263438,524,192,482,2,4,106820,2
matnie94,189,126547,99,29,346,1,287079,608,389,196,2,0,435765,2
matt6092,234,262023,703,100,3469,1,341877,845,464,472,2,0,668675,3
maverickLE,1374,1054962,3,0,38,46,28535,35,1854,1308,40,5,2.18481e+06,2
max84163533,318,378882,516,0,2802,155,326285,821,719,474,0,0,1.08571e+06,3
medicalprolapse,177,115903,290,0,2208,898,235086,306,159,279,6,2,97725,1
megavanek55,232,233581,268,9,467,1,276480,726,377,580,5,6,333458,2
meleeo-,176,205526,442,1,4129,3,398242,835,577,811,0,0,823125,1
mert83,136,178760,473,0,2262,1,287671,605,292,359,0,0,42925,2
michaeltimbury,296,189085,307,40,2247,1,345008,767,525,501,0,4,819325,3
mikensc,691,875801,785,31,7074,3,1310620,3,1350,1837,1,0,1.28306e+06,2
mikeylufc95,298,246403,1230,0,5314,18,245745,198,278,434,4,5,405310,2
mikkeljz,526,293555,817,54,7653,1,1071040,2,2257,1171,1,1,1.01067e+06,2
milooski,220,281247,157,3,824,289,263868,625,311,878,4,1,186965,1
miloscz98,495,355215,96,0,899,3,260641,840,867,440,13,3,720945,2
misieksimon12345,469,471741,235,4,338,628,416115,1,803,573,4,1,931550,2
mistshadowzx,147,180127,120,0,959,458,201174,422,247,994,0,0,400375,2
misuzuu3,556,526936,1915,80,8764,2,626576,1,951,991,1,0,1.45998e+06,3
