Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
vetall_zp,881,1625576,551,136,4981,4,2111070,5,2204,3011,4,0,4.64585e+06,2
von1965,1533,1359146,0,0,40,16,4116500,13,14948,7938,9,0,4.64854e+06,2
von_wrangel,1252,969181,2792,72,18641,6,1870830,3,3409,3158,11,3,4.63494e+06,2
vueltegato,0,1083472,1621,36,2972,2,1509780,2,1785,2258,26,15,2.89348e+06,1
vvhorehoppin,1088,786893,3639,241,9681,3,2584690,4,2223,2040,93,45,1.90032e+06,2
warface46,1393,970611,3930,375,12599,2,2574620,4,959,2091,296,171,1.05466e+06,2
wellhard68,900,1087389,0,0,23,12,1250840,1,423,267,477,125,1.26153e+06,2
westi88,1266,1145447,1179,596,6344,9,3356820,9,4517,3941,50,25,6.61071e+06,2
wolf63pl,872,2265734,340,73,11396,8,3258620,6,3837,3512,24,9,4.46512e+06,2
wuxinsweet,1465,1689425,967,6,3407,2,1561320,4,3148,5115,9,1,4.34271e+06,3
x-B34tnU-x,1629,1154830,1906,124,10951,7,1912040,4,2596,4597,24,10,4.19138e+06,2
xGuiBaccax,1009,1279850,2660,265,12302,13,2358020,6,4496,3513,0,1,6.80376e+06,3
xLocke1909x,1037,1219738,1711,58,3222,1,2550530,6,3241,3765,13,7,6.57316e+06,0
xXP4ND4Xx,1543,933687,943,39,2936,233,1425860,4,3142,4116,17,6,4.41194e+06,1
xZlGx,1608,1568943,557,67,3932,7,3234480,13,8168,6318,24,3,4.02079e+06,2
xppleaterx,1155,868360,1549,278,13898,8,2631140,6,3574,4831,28,8,4.54695e+06,3
xxxxxDECOYxxxxx,1644,945368,1989,145,6495,3,1883530,4,2504,2565,36,8,2.45085e+06,2
yashkarang,1589,1720395,335,0,2611,8,2381300,4,4721,2543,13,5,2.66475e+06,3
yezt,2456,1794392,1701,244,23251,29,2928620,6,4900,2799,1,0,7.01093e+06,2
youRet4rd,900,1572546,997,88,3622,3,764468,1,1523,3641,2,3,2.22877e+06,2
yxill,1698,1640978,832,897,8231,26,2306060,5,5433,2694,0,0,8.48864e+06,2
zardashti,890,1986642,2157,300,5160,3,1766980,3,3522,3034,16,8,5.6451e+06,2
zippojippo,1064,562866,4659,0,53969,3,1532160,2,3207,1498,0,0,977615,2
zyz3135932,2503,1775027,1640,79,11765,18,2043400,4,1712,3684,0,0,3.48959e+06,3
