Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Cardboard_Manx,1308,1884191,2113,394,14788,15,1334760,2,1297,4086,0,0,290700,2,1878589,5602,1301,7,24.7092,3,9.19793
CeMoLi09,910,881670,970,93,4034,1,1473750,3,2762,2619,32,12,4.67338e+06,2,874044,7626,897,13,32.6248,13.6158,6.42303
Ceffster777,1261,1196938,2566,160,9655,10,2052320,3,2531,1884,0,0,4.74384e+06,2,1171636,25302,1234,27,56.2584,10.0329,13.5804
Chackallll,930,1086370,1268,182,8345,3,2141090,6,4743,5453,0,0,6.71645e+06,1,1086370,0,930,0,0,0,0
ChefExecutifDCAP,739,721372,617,101,1590,1,1618050,3,1446,2600,9,0,1.9035e+06,1,707203,14169,724,15,39.121,10.1959,9.95437
Chmeee,587,603650,1043,53,4999,4,1307520,2,1667,2356,36,14,2.17188e+06,1,603650,0,587,0,0,0,0
ChoxieSekurai,746,899382,3470,101,13087,3,2532190,7,3238,4010,4,0,3.90541e+06,1,891618,7764,740,6,25.7423,19.6872,57.2153
ChumBucketDeluxe,984,1229593,2853,46,11453,2,1754180,4,3463,4394,3,1,4.8375e+06,1,1229080,513,982,2,9.98857,9.41368,11.1979
Clanck86,2172,1232068,1597,191,11246,7,3979780,10,8870,3127,8,6,2.16294e+06,2,1219586,12482,2157,15,38.124,16.5196,7.57814
CloudTiger88,2389,1059711,56,0,443,1,636528,25,49,24,0,0,11485,2,1058824,887,2388,1,10.5865,0,3.87298
Cloud_n_em,1149,1323432,909,238,15559,2,1651300,4,3230,3256,1,0,5.82696e+06,3,1311374,12058,1122,27,49.8594,12.7735,18.4818
ColMooncheeze,693,843892,2566,33,8968,8,1836560,4,3784,5010,9,5,5.72513e+06,1,843892,0,693,0,0,0,0
ComeTooBesiktass,1081,1046722,113,57,3232,9,1835780,3,2613,2495,10,11,2.04036e+06,2,1020282,26440,1052,29,58.6902,12,36.3623
CoolP1ggy,775,708964,3133,246,18287,5,2014650,3,1893,2077,43,22,2.40636e+06,1,708964,0,775,0,0,0,0
CornedBeefQueef,789,787113,2213,153,12432,4,1377960,3,2477,3317,1,2,1.75279e+06,2,743194,43919,748,41,76.1563,22,10.6731
CosmeticOrange,687,687955,1317,6,5494,3,1581280,3,1541,2445,16,5,2.14733e+06,1,687955,0,687,0,0,0,0
CosmicDusk,529,475609,750,21,1994,1,801514,1,1363,1961,2,0,2.62978e+06,3,475609,0,529,0,0,0,0
CptButterCake,851,710273,1847,57,8000,6,1508940,2,1835,3405,68,22,1.37477e+06,2,710273,0,851,0,0,0,0
Crazy_horse101th,1312,1158491,1568,238,14225,16,2485220,4,3140,2036,19,12,2.40809e+06,2,1154733,3758,1306,6,21.5046,10.3029,6.91085
Crimson_Ghost,830,1014667,1036,73,8031,14,1574860,3,2393,6123,0,0,3.65223e+06,1,1014667,0,830,0,0,0,0
Crunkendrunk,1253,1163587,2037,156,5770,4,2155980,5,3975,2641,13,5,5.52566e+06,1,1163587,0,1253,0,0,0,0
CycoSandwich,1043,1001709,3265,150,7868,6,1909290,4,4241,3192,28,9,6.11623e+06,2,1001709,0,1043,0,0,0,0
Cypha730,1114,1014099,4393,57,12288,1,2361670,5,2536,3654,25,6,2.48744e+06,1,1014099,0,1114,0,0,0,0
