Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
BATYMOBYL,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
BDentos,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
BF1IOS10,32,27988,2,10,14,0,14180,0,64,41,0,0,3.49618e+06,262.2581,93.0148,4.58776
BF_Zaizai_TwT,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
BHS-Alexyjeff30,24,23873,3,0,9,0,21140,0,49,51,0,0,4.37862e+06,252.6974,115.374,5.44654
BJ-Guerrilla,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
BOSSZTC,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
BOT_haru,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
BT-Suzdal,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0
BacKeRz_Strike,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Battle-Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Beema6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Bigboyjaya,41,41941,0,0,1,0,44890,0,34,35,0,0,124810,375.6209,6.98854,5.75115
Bios_Black2,15,12627,0,0,0,0,27430,0,31,39,0,0,75080,238.2131,11.5079,6.53874
Birch81,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0
BkStyle0w0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Bl4ck5um,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
BlackNoise888,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Blakk-Said,22,20168,253,0,900,0,171540,0,53,163,4,2,-52980,249.1302,0,61.3968
Blavioo,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
BlazianNinja,1,1318,7,0,36,0,1526,0,10,6,0,0,11200,311.9378,32.4505,49.2501
BloodyLouver,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Blumava,24,13441,80,0,279,1,57240,0,39,24,0,0,-1.33811e+06,247.7011,0,21.9883
BokChoy_FawkBhoy,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Boleylix,25,19433,99,0,363,0,73390,0,56,35,0,0,-210570,351.7969,0,25.3604
Bratzpoemper,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
BrewdudeBrett,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
BtK-MVP-Aargo,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Budokai1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Buehuu,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Bulletproof956,2,989,0,0,0,0,1460,0,4,2,0,0,-6.2895e+06,111.9403,0,5.19793
BulliesWatchOut,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
BumpyPumpy,27,26254,9,0,31,0,72130,0,80,108,0,0,221800,156.6205,19.757,8.189
Buttnubs,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
C0GO,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
CCAVppap,20,22146,1,0,20,0,37480,0,33,57,0,0,75200,347.9887,11.5116,7.57949
CK_Tirpitz,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
CLLRostocker,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
CLMann,7,5942,0,0,0,0,6370,0,11,37,0,0,35450,125.0601,14.269,5.49238
CMDR_Epico,17,16362,101,18,356,0,75800,0,52,57,0,0,121880,142.3051,15.9028,35.1712
CN-wushen,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
COOLESTDUDE1995,10,11163,3,0,30,0,21980,0,31,35,0,0,-64430,132.2798,0,9.8471
CalibeR93,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
CalibratedCore,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CallMerLg,1,1112,0,0,0,0,1060,0,3,2,0,0,15500,311.336,10.6024,5.70593
Cantaloupe4d,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
CaptGB_NZ,7,6476,0,0,0,0,34780,0,23,20,0,0,5.64634e+06,025.5851,148.196,8.39548
Captain-JemBoy,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Captain1709,4,2955,8,0,29,0,7120,0,2,5,0,0,26000,218.3118,3.95909,15.4954
Capturetall,66,72292,0,0,1067,3,171250,0,96,107,0,0,102352,2107.503,9.3271,23.1366
CaraHueca,49,20976,52,0,343,0,47910,0,15,6,0,0,30690,276.4874,1.11393,13.5908
Carl111_pl,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Cesar_Wann_III,3,760,0,0,0,0,2340,0,0,0,0,0,0,112.1056,0,5.28474
Cheesy_Mushr00m,4,2486,13,0,96,0,14280,0,8,10,0,0,56690,317.5114,10.9423,34.7298
ChefKritikal,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
ChellyFam,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Chemtrailer500,4,4580,0,0,21,0,9630,0,10,11,0,0,64270,220.5603,12.177,12.0044
Cherysaor,51,52928,3,5,2,0,8570,0,5,62,0,0,245900,388.41,9.42889,3.60021
ChiII4x,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0
Chideo,3,3064,0,0,13,0,3730,0,9,11,0,0,17570,217.4855,13.6741,9.93769
ChilliFart,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
ChillwindL,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Chipziz,24,24324,57,0,1209,0,107100,0,88,125,0,0,161830,252.8768,22.0596,60.173
Chopbeef,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Christiantrooper,3,4901,12,0,3,0,14980,0,12,21,0,0,0,119.9381,22,13.406
Chub_and_Tuck,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
ChucKy-JaGer,9,10297,30,0,93,0,47480,0,40,56,0,0,99100,230.6887,24.2304,21.5223
Clanlesscav1,24,22836,28,0,28,0,44620,0,62,36,0,0,172750,152.2762,13.3718,8.56629
Climax233,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
CliveWarr3n,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Cloudy_PL,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Cman_BE,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
