Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Crispy_RH,1738,1701237,1406,629,6094,5,1974640,4,2685,3850,9,6,5.11339e+06,3,1682843,18394,1713,25,51.311,10.8693,10.6416
Crunkendrunk,1253,1163587,2037,156,5770,4,2155980,5,3975,2641,13,5,5.52566e+06,1,1163587,0,1253,0,0,0,0
CycoSandwich,1043,1001709,3265,150,7868,6,1909290,4,4241,3192,28,9,6.11623e+06,2,1001709,0,1043,0,0,0,0
Cypha730,1114,1014099,4393,57,12288,1,2361670,5,2536,3654,25,6,2.48744e+06,1,1014099,0,1114,0,0,0,0
D1ckFromMountain,1299,1498782,575,78,2703,3,1140510,3,2126,3654,0,0,3.85493e+06,2,1487122,11660,1285,14,36.6053,7.25279,7.21564
D3ADduck,1373,1637577,599,393,7299,35,2731240,5,4068,2214,3,8,5.79494e+06,1,1637577,0,1373,0,0,0,0
DJX995,895,1035633,2048,148,19274,11,2455610,4,1700,2904,2,2,499615,1,1031824,3809,889,6,21.5744,10.3634,55.6333
DOGO_747,1603,1600041,129,31,849,8,332506,747,2338,3019,14,9,3.68369e+06,2,1596151,3890,1600,3,18.6839,12.3828,2.39678
DYTV-2040553,892,777571,1624,211,6478,22,3113040,6,1176,4681,2,2,1.8331e+06,3,777571,0,892,0,0,0,0
DZ-Charaf-43,1229,1281739,136,155,736,5,1321360,3,2301,2881,1,0,1.27909e+06,2,1280213,1526,1225,4,15.4848,0,3.51124
Dakohri,1165,1383161,6875,785,63036,13,3368110,6,4260,3392,0,0,6.43909e+06,2,1383161,0,1165,0,0,0,0
Dan-Celentano,1080,930126,2573,400,16568,10,2305680,4,1643,2031,112,59,2.89356e+06,2,930126,0,1080,0,0,0,0
Darkulzz,966,1106283,2854,45,13622,7,1879640,4,2201,3763,0,0,3.8803e+06,2,1104818,1465,964,2,13.3298,5.15558,3.99609
Davaa420,2348,1156655,6275,24,27309,643,1800340,607,604,475,3,1,505195,2,1156655,0,2348,0,0,0,0
DazpolzZ,843,764144,1745,103,4245,3,2086250,4,2881,2029,112,40,4.69916e+06,2,764144,0,843,0,0,0,0
DeStrOyeR144,696,699952,948,16,4759,3,1303650,2,1793,2724,4,3,3.54286e+06,2,699952,0,696,0,0,0,0
DeathByACr1t,645,858814,1283,71,5710,5,1332300,2,1792,3603,1,3,1.58294e+06,1,848570,10244,637,8,29.6514,23.0158,25.6974
DefilarTheGreat,1787,1341032,2924,208,6928,8,2114190,4,2149,2733,41,22,3.47858e+06,1,1332037,8995,1776,11,31.734,7.96042,13.7046
DerHerrOberst,2123,1769624,2031,51,2555,1,2482280,6,4186,1856,20,3,5.4227e+06,0,1760620,9004,2113,10,30.7409,3.0621,5.94096
DerKevin27,810,958413,2192,468,12217,9,1854640,3,2180,3211,9,2,2.50858e+06,2,958413,0,810,0,0,0,0
DerMettwurstmann,1132,1335021,1575,201,6625,2,1451240,4,2246,3094,0,0,3.7447e+06,2,1335021,0,1132,0,0,0,0
DigUrGraveNow,1204,1575470,293,46,2257,10,1811430,5,3388,5485,0,0,4.84114e+06,1,1575470,0,1204,0,0,0,0
Diggo68,2854,1988299,881,148,13125,9,3384900,8,4916,2250,82,56,4.0562e+06,1,1988299,0,2854,0,0,0,0
Doctor_PHNX,1456,1492296,1897,44,11772,8,2123820,5,2930,1837,16,4,3.2499e+06,2,1477998,14298,1443,13,37.1939,8.63265,65.3212
Domantalie,1074,794952,2441,37,10579,2,2598170,7,4910,3647,29,2,4.61077e+06,2,794952,0,1074,0,0,0,0
Don-Domingo01,1015,1105703,1776,244,4689,4,1913100,4,2948,4628,82,46,3.00484e+06,2,1099766,5937,1005,10,28.055,10,14.3566
DonDeni,714,887574,1061,0,2528,2,1556160,4,3018,4129,4,1,3.96323e+06,2,887574,0,714,0,0,0,0
Donnie_Dump,4248,2096617,562,0,9941,3,1556180,1,615,656,11,0,874430,1,2096617,0,4248,0,0,0,0
DouyuTV-Uncle3rd,1546,1702125,998,161,5437,3,1893830,5,2732,5350,45,15,3.66638e+06,3,1702125,0,1546,0,0,0,0
Dr_Lickenfinga,1485,1397867,189,32,6978,646,1468330,4,4641,2927,2,0,7.05306e+06,2,1397867,0,1485,0,0,0,0
Drittfugl,992,952171,1869,77,15074,7,1898460,4,3483,3067,4,1,4.26544e+06,2,949304,2867,987,5,19.1685,15.8073,12.8244
Dukador,1070,818533,2025,120,10665,7,2322800,5,3459,2517,26,17,2.15409e+06,2,818533,0,1070,0,0,0,0
Dustkiller,2371,1902386,1235,147,5697,1,1927670,6,2219,3594,0,0,4.70403e+06,2,1902386,0,2371,0,0,0,0
Dz-KaTaNa,1041,1086309,449,9,2034,929,1377060,3,4363,4068,7,5,5.4094e+06,2,1086309,0,1041,0,0,0,0
EDDISONN,786,789315,128,9,6829,4,1841080,3,1429,1657,62,17,740305,2,789315,0,786,0,0,0,0
ENiGMAdubz,813,829953,984,185,3342,2,1258810,2,1643,2808,40,11,1.91295e+06,2,829953,0,813,0,0,0,0
ERoTiiCK,654,636120,2726,59,9921,3,1533880,3,1714,1938,166,47,2.564e+06,2,636120,0,654,0,0,0,0
ESP-No4,904,1128508,8816,5,29637,3,2972460,8,2883,3545,0,0,2.08373e+06,3,1128508,0,904,0,0,0,0
EddyVercenti,872,1022615,911,82,3469,2,1586570,4,2135,3001,37,14,3.10448e+06,2,1022615,0,872,0,0,0,0
EgoBusta,1050,1310940,483,161,1745,1,1847480,6,5013,5735,3,1,6.53716e+06,1,1310940,0,1050,0,0,0,0
Emzak77,847,861110,1577,223,4391,1,1801580,3,1915,2923,15,0,3.2362e+06,1,861110,0,847,0,0,0,0
Enthilsahr,818,715532,3159,98,14445,8,1768320,3,2265,2597,82,37,2.08517e+06,2,710278,5254,809,9,26.335,14.1326,68.7967
Eradon10,1002,1000682,891,52,6801,5,1410040,3,1645,3130,0,0,3.14259e+06,2,1000682,0,1002,0,0,0,0
EusKa_Z3phyR,1204,1258414,3839,18,19499,590,1849690,5,4233,4265,0,0,5.99793e+06,2,1258414,0,1204,0,0,0,0
Ever3lade,1159,1162594,2765,391,13331,12,1897820,4,2971,2953,8,0,4.09324e+06,1,1162594,0,1159,0,0,0,0
FAILorigin,1569,1630604,3157,103,9597,3,2636360,7,4509,3953,20,7,5.75494e+06,2,1630604,0,1569,0,0,0,0
FEARush-BLiZZaRD,1096,1099969,1076,78,3430,3,1956880,3,1839,2891,23,13,4.17341e+06,2,1084230,15739,1081,15,39.9801,9.90986,29.0781
FFI_Oneal,769,1113726,1705,278,16063,9,1717490,3,3166,3658,72,10,3.49143e+06,2,1097990,15736,763,6,30.9785,19,10.9517
FLA_AxIoN,766,852475,1733,200,9484,7,1675850,2,3522,2562,2,0,6.2169e+06,2,826657,25818,739,27,56.4558,24.0827,15.652
Fantasy-MG,1017,656788,2128,21,7806,2,1593440,2,3064,2766,0,0,718150,2,656788,0,1017,0,0,0,0
FarewelI,844,848144,301,137,4337,3,2013820,5,2890,2840,26,12,4.95056e+06,1,848144,0,844,0,0,0,0
Fatedxin,1000,1113736,1352,90,4911,12,1450240,3,2461,2179,1,0,4.12604e+06,1,1099546,14190,988,12,36.1329,11.3181,18.6221
Firespawn84,731,833014,1013,101,7170,2,1280590,2,1646,2061,1,8,1.36515e+06,2,833014,0,731,0,0,0,0
