Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
CyberWolfy17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cyrus_rev1,35,35643,98,5,526,0,129870,0,135,73,0,0,309190,1,67.795,20.1717,24.8045
D0n4ld7rump,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D4r10x,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D4rkCh0co,160,71843,691,0,2159,0,129450,0,21,26,0,0,-231425,2,201.417,0,22.3332
DBO711,48,38761,65,0,352,0,108650,1,146,112,0,0,345530,1,81.7237,20.1604,14.8972
DJ-magni,14,13577,0,0,23,0,23750,0,28,28,0,0,76430,3,37.7806,10.549,7.41736
DJFarmer98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DOODuk,6,5112,0,0,0,0,14030,0,11,23,0,0,26300,0,23.1775,11.9691,6.95362
DS-iAikon,50,52484,0,0,17,1,149910,0,135,204,0,0,407580,2,87.3052,24.8318,7.39959
DZ-MOGHROF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D_Knightrider,15,14435,0,0,0,1,86990,0,68,40,2,0,109400,2,39.2709,17.5358,8.72646
DagonMP,76,62983,1,0,242,0,184670,1,158,148,0,0,165555,2,115.641,13.1663,10.0203
DampirEgret,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DanielDefo_ru,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DarthGoofy,1,1489,0,0,0,0,1960,0,0,3,0,0,2070,2,12.3913,6.10167,6.65371
Dauz1eher,1,1607,6,1,15,0,2910,0,8,0,0,0,-1.60787e+06,2,12.6843,0,29.3447
DaveTheJehova,5,5669,0,0,0,0,7390,0,19,20,0,0,0,2,22.7794,15,6.20038
DeadManChest3,1,1040,0,0,11,0,350,0,0,3,0,0,0,2,11.1082,6,15.3253
DeathSickle_R,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Deelong,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Delta-Kitemax,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DerpsterSwe,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DevilofWW1,0,50,0,0,0,0,0,0,0,0,0,0,0,1,3.67923,0,0
Diablo-CRO,3,3641,0,0,0,0,6470,0,10,7,0,0,0,2,18.3422,11,6.81416
DickSwingLow,8,19185,0,0,0,0,38690,0,17,31,0,0,113600,0,34.6825,15.6597,8.33915
DigitalFlame,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DimaDestroyer,26,22798,30,0,175,0,61640,0,136,101,0,0,237370,2,54.2605,25.1917,13.9773
DirtBag743,12,12483,54,0,217,0,40440,0,29,14,0,0,-2.49436e+06,1,35.1246,0,29.6192
Diullm,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DjeesT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dlhy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dnoman56,32,41762,165,4,570,0,84930,0,65,102,0,0,-3.76964e+06,1,66.5717,0,30.1775
DoDoGERB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DoctahDempstah,15,8193,3,0,20,0,13510,0,22,28,0,0,-2.10146e+06,2,35.0991,0,6.47723
DokterDoodoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoktorAntiMangal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DorkyDarko,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dothomir,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dr_Jade_Balfour,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dragon-tuzi,17,15453,44,0,157,0,20190,0,16,16,0,0,26210,3,41.828,3.96608,16.8697
Draz0007,40,36501,22,0,102,0,37230,0,66,71,0,0,63580,2,73.0558,8.15573,8.52231
Drknow069,52,41459,54,0,52,1,72460,0,0,0,0,0,300,2,86.4879,0.0197238,8.10925
Dron26RU_ID,95,91967,22,1,1504,1,166100,0,281,339,0,0,715390,2,139.967,32.9006,22.466
Dunyip,12,11716,7,0,33,0,21540,0,52,40,0,0,71010,0,34.6414,17.3838,9.50903
Dwarptain,0,590,0,0,0,0,250,0,0,0,0,0,0,2,8.36939,0,0
E1_Hiluziion,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EPICxPHANTOM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EXONR8,1,1332,0,0,0,0,1130,0,3,7,0,0,2.23402e+06,3,11.9764,77.3047,5.79789
EYZENN,2,2268,0,0,0,0,2495,0,2,3,0,0,8250,2,15.1048,5.34307,5.94246
EcG-Mibr,1,817,3,0,1,0,3550,0,4,5,0,0,9400,1,10.3276,18.3853,11.7189
EchoBeach,21,22219,100,0,674,0,81170,0,81,46,0,0,225250,2,49.0194,18.8535,43.8847
Echoes_PC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Eckengucker,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EdWORX,9,13716,5,0,38,0,36680,0,13,67,0,0,0,2,32.8614,17,11.9897
Edu23_CL,88,34581,36,0,154,0,45550,0,90,50,0,0,81730,3,120.466,5.7096,6.7684
EdwardIIX,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EdwardMannock,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Effswar,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Eggbin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Einheitsfront,110,90436,302,1,1517,0,190890,1,195,289,3,0,580210,3,154.716,24.3949,22.4539
ElSneakyMexican,0,531,0,0,0,0,770,0,2,2,0,0,3400,1,8.08084,0,0
ElbruzOne,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
